epoch,val_loss
0,1.592490
epoch,val_loss
0,0.104846
1,0.080692
2,0.067894
3,0.063954
4,0.057224
5,0.054353
6,0.047059
7,0.049052
8,0.044773
9,0.043212
10,0.041144
11,0.040135
12,0.039781
13,0.040479
14,0.037497
15,0.035483
16,0.037567
17,0.033778
18,0.035292
19,0.033411
20,0.034036
21,0.033827
22,0.035026
23,0.033203
24,0.033193
25,0.036955
26,0.032507
27,0.032737
28,0.031219
29,0.032519
30,0.032045
31,0.032156
32,0.032721
33,0.032084
34,0.031327
35,0.031365
36,0.031781
37,0.029972
38,0.030610
39,0.030421
40,0.032056
41,0.032394
42,0.030630
43,0.031402
44,0.032357
45,0.031066
46,0.030125
47,0.030552
